k,v,n,g,m,e,x,c,u
命令,命令,國立臺灣科學教育館規費收費標準,行政＞教育部＞終身教育目,2025-08-29,2026-01-01,,5,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020077
命令,命令,考選業務基金收支保管及運用辦法,考試＞考選部＞一般性考試目,2015-01-28,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=R0010005
命令,命令,水產動物類衛生標準,廢止法規＞衛生福利部,2019-08-15,,廢,3,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0040088
命令,命令,技師證書及執業執照收費標準,行政＞行政院公共工程委員會＞通用目,2011-09-16,,,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030089
命令,命令,運動發展基金收支保管及運用辦法,行政＞運動部＞產業及科技目,2020-12-23,,,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0120052
命令,命令,食品中真菌毒素限量標準,廢止法規＞衛生福利部,2019-08-15,,廢,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0040089
命令,命令,學校財團法人及所設私立學校內部控制制度實施辦法,行政＞教育部＞私立學校目,2017-05-12,,,28,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0020078
命令,命令,運動彩券管理辦法,行政＞運動部＞產業及科技目,2015-07-27,,,32,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0120053
命令,命令,防焰性能認證規費收費標準,廢止法規＞內政部,2025-12-12,,廢,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120043
命令,命令,國營事業機關出售資產盈虧列帳辦法,廢止法規＞行政院主計總處,2017-07-20,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=T0030008
命令,命令,國營事業機關剔除及追收款項處理辦法,廢止法規＞行政院主計總處,2017-07-20,,廢,3,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=T0030009
命令,命令,就業保險失業者創業協助辦法,行政＞勞動部＞就業服務目,2026-06-10,2026-08-01,,33,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0040013
命令,命令,地方政府公庫代理銀行遴選辦法,行政＞財政部＞國庫目,2012-06-25,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0320029
命令,命令,人體試驗管理辦法,行政＞衛生福利部＞醫事目,2016-04-14,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020162
命令,命令,志願自費鑑定血緣關係收費標準,行政＞內政部＞警政目,2009-12-21,,,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080188
命令,命令,中央選舉委員會處務規程,行政＞中央選舉委員會＞組織目,2017-09-03,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110023
命令,命令,各級公庫代理銀行代辦機構及代收稅款機構稅款解繳作業辦法,行政＞財政部＞國庫目,2012-08-17,,,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0320030
命令,命令,台江國家公園管理處辦事細則,廢止法規＞內政部,2024-05-03,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010081
命令,命令,中央選舉委員會編制表,行政＞中央選舉委員會＞組織目,2024-05-24,2024-05-01,,1,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0110028
命令,命令,保險業財務報告編製準則,行政＞金融監督管理委員會＞保險目,2026-02-05,2026-01-01,,56,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0390085
命令,命令,國立臺灣工藝研究發展中心組織規程,廢止法規＞文化部,2012-09-21,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0000098
命令,命令,國立臺灣工藝研究發展中心辦事細則,廢止法規＞文化部,2012-09-21,,廢,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0010024
命令,命令,國立臺灣博物館組織規程,廢止法規＞文化部,2012-09-21,,廢,5,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0000099
命令,命令,國立臺灣博物館辦事細則,廢止法規＞文化部,2012-09-21,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0010025
命令,命令,中央政府各機關專戶管理辦法,行政＞財政部＞國庫目,2012-08-03,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0320031
命令,命令,財團法人中華民國私立學校教職員退休撫卹離職資遣儲金管理委員會組織及管理辦法,行政＞教育部＞人事目,2022-06-02,,,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0150033
命令,命令,學校法人及其所屬私立學校教職員退休撫卹離職資遣儲金監理會設置辦法,行政＞教育部＞私立學校目,2013-05-23,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0150034
命令,命令,衛生福利部食品藥物管理署處務規程,行政＞衛生福利部＞組織目,2019-06-06,,,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0010049
命令,命令,衛生福利部食品藥物管理署編制表,行政＞衛生福利部＞組織目,2025-10-30,,,1,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0000065
命令,命令,藥師執業登記及繼續教育辦法,廢止法規＞衛生福利部,2016-03-08,,廢,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0030068
命令,命令,全民健康保險基金收支保管及運用辦法,行政＞衛生福利部＞社會保險目,2025-04-02,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0060025
命令,命令,臺灣警察專科學校招生考試規費收費標準,行政＞內政部＞警政目,2013-05-15,,,5,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080189
命令,命令,臺灣警察專科學校場地設施使用規費收費標準,行政＞內政部＞警政目,2024-10-11,,,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0080190
命令,命令,中央健康保險局現職人員轉任行政院衛生署中央健康保險局比照改任官職等級及退撫事項辦法,考試＞銓敘部＞任用目,2009-12-18,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0080027
命令,命令,適用所得稅協定查核準則,行政＞財政部＞賦稅目,2025-04-08,,,54,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340125
命令,命令,礦災受災地區交通搶通或公共設施重建簡化行政程序辦法,行政＞經濟部＞地礦目,2022-12-15,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0020051
命令,命令,發展再生能源進口貨物免徵及分期繳納關稅辦法,行政＞財政部＞關務目,2010-01-14,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0350067
命令,命令,學校法人及其所屬私立學校教職員退休撫卹離職資遣儲金與原私立學校教職員工退休撫卹基金收支管理運用辦法,行政＞教育部＞私立學校目,2016-10-14,,,23,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0150035
命令,命令,國家文官學院區域培訓中心組織準則,考試＞公務人員保障暨培訓委員會＞組織目       ,2009-12-31,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0000022
命令,命令,投資經營非我國籍漁船作業辦法,行政＞農業部＞漁業目,2018-01-23,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0050042
命令,命令,九十九年國民住宅出售出租對象家庭收入標準,廢止法規＞內政部,2011-02-18,,廢,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070186
命令,命令,消防設備師及消防設備士證書費收費標準,廢止法規＞內政部,2024-08-21,,廢,5,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120044
命令,命令,衛生福利部科學技術研究發展成果歸屬及運用辦法,行政＞衛生福利部＞科技發展目,2022-09-14,,,42,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0010050
命令,命令,陸上運輸系統噪音管制標準,行政＞環境部＞大氣環境目,2013-09-11,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0030018
命令,命令,醫院設立或擴充許可辦法,行政＞衛生福利部＞醫事目,2025-02-04,,,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020163
命令,命令,銀行法第三十三條之三授權規定事項辦法,行政＞金融監督管理委員會＞銀行目,2025-07-10,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0380217
命令,命令,學校法人及其所屬私立學校教職員退休撫卹離職資遣條例施行細則,行政＞教育部＞私立學校目,2023-11-10,,,44,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0150036
命令,命令,軍訓課程折算役期實施辦法,行政＞教育部＞學生事務及特殊教育目,2013-09-18,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0140015
命令,命令,醫療機構網際網路資訊管理辦法,行政＞衛生福利部＞醫事目,2015-11-03,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020165
命令,命令,法務部遴選律師教授副教授助理教授轉任檢察官審查辦法,廢止法規＞法務部,2013-07-19,,廢,17,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0010074
命令,命令,行政院農業委員會各區農業改良場組織準則,廢止法規＞農業部,2023-11-29,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0000040
命令,命令,行政院農業委員會桃園區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010024
命令,命令,行政院農業委員會苗栗區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010025
命令,命令,行政院農業委員會臺中區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010026
命令,命令,行政院農業委員會臺南區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010027
命令,命令,行政院農業委員會高雄區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010028
命令,命令,行政院農業委員會花蓮區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010029
命令,命令,行政院農業委員會臺東區農業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010030
命令,命令,新竹市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010094
命令,命令,再生能源發電設備設置者與電業爭議調解辦法,行政＞經濟部＞能源目,2023-11-17,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130034
命令,命令,專業機構或技師辦理能源管理法檢查業務認可管理辦法,行政＞經濟部＞能源目,2024-04-01,,,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130035
命令,命令,新竹縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010095
命令,命令,嘉義市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010096
命令,命令,嘉義縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010097
命令,命令,彰化縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010098
命令,命令,臺中市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010099
命令,命令,臺北市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010100
命令,命令,臺東縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010101
命令,命令,臺南市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010102
命令,命令,澎湖縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010103
命令,命令,直轄市縣市選舉委員會組織準則,行政＞中央選舉委員會＞組織目,2017-09-03,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0000157
命令,命令,宜蘭縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010082
命令,命令,花蓮縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010083
命令,命令,金門縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010084
命令,命令,南投縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010085
命令,命令,屏東縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010086
命令,命令,苗栗縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010087
命令,命令,桃園縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2014-04-29,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010088
命令,命令,高雄市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010089
命令,命令,基隆市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010090
命令,命令,連江縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010091
命令,命令,雲林縣選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010092
命令,命令,新北市選舉委員會辦事細則,廢止法規＞中央選舉委員會,2017-09-03,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0010093
命令,命令,救生員資格檢定辦法,行政＞運動部＞全民運動目,2024-09-05,,,27,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0120054
命令,命令,國軍退除役官兵輔導委員會專業獎章頒給辦法,行政＞國軍退除役官兵輔導委員會＞處務目       ,2015-12-10,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0150026
命令,命令,國家文官學院中區培訓中心辦事細則,考試＞公務人員保障暨培訓委員會＞組織目       ,2025-12-24,2026-02-01,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0010016
命令,命令,違反噪音管制法按日連續處罰執行準則,行政＞環境部＞大氣環境目,2010-03-11,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0030019
命令,命令,廣播電視業者設置電臺規費收費標準,行政＞國家通訊傳播委員會＞收費標準目,2010-03-15,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060086
命令,命令,自由貿易港區入出及居住管理辦法,行政＞交通部＞港務目,2026-01-12,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0080026
命令,命令,特殊電信號碼使用費收費標準,廢止法規＞數位發展部,2024-08-23,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060087
命令,命令,更生債務人申請直轄市或縣市政府協助作成更生方案辦法,司法＞院本部＞民事目,2012-06-12,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=I0050030
命令,命令,國史館臺灣文獻館提供政府資訊收費標準,廢止法規＞總統府,2021-07-02,,廢,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020145
命令,命令,臺灣地區漁船航行至大陸地區許可及管理辦法,行政＞交通部＞航政目,2010-03-19,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0070066
命令,命令,營利事業於自由貿易港區從事貨物採購輸入儲存或運送免徵營利事業所得稅辦法,行政＞交通部＞港務目,2019-10-09,,,25,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0080027
命令,命令,金融控股公司及銀行業內部控制及稽核制度實施辦法,行政＞金融監督管理委員會＞銀行目,2026-05-06,9999-12-31,,65,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0380218
命令,命令,行政院及所屬各級機關精簡人員優惠退離辦法,行政＞行政院人事行政總處＞給與福利目,2018-11-19,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0110039
命令,命令,中央政府機關員額管理辦法,行政＞行政院人事行政總處＞組編人力目,2022-10-19,,,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=S0110040
命令,命令,專門職業及技術人員高等考試牙體技術師考試規則,考試＞考選部＞專門職業及技術人員考試目,2023-07-20,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=R0040073
命令,命令,專門職業及技術人員特種考試牙體技術人員考試規則,廢止法規＞考選部,2014-04-01,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=R0040074
命令,命令,綠建築標章及建築能效標示規費收費標準,行政＞內政部＞建築研究目,2024-07-02,,,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070187
命令,命令,綠建材標章規費收費標準,行政＞內政部＞建築研究目,2018-03-31,,,4,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070188
命令,命令,再生能源熱利用獎勵補助辦法,行政＞經濟部＞能源目,2015-12-09,,,20,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130036
命令,命令,農藥管理規費收費標準,行政＞農業部＞動植物防檢疫目,2025-08-25,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0140035
命令,命令,衛生福利部所屬醫療機構醫事人員兼任院長副院長及各級醫事主管之任期及遴用辦法,行政＞衛生福利部＞人事目,2019-12-27,,,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020168
命令,命令,再生能源發電設備免徵及分期繳納進口關稅品項及證明文件申請辦法,行政＞經濟部＞能源目,2023-11-06,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130037
命令,命令,中華民國一百年度中央政府總預算編製辦法,廢止法規＞行政院主計處,2011-02-09,,廢,41,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=T0020062
命令,命令,中華民國一百年度中央政府總預算附屬單位預算編製辦法,廢止法規＞行政院主計處,2011-07-28,,廢,23,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=T0020063
命令,命令,行政訴訟文書使用科技設備傳送辦法,司法＞院本部＞行懲及智財目,2023-03-01,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030238
命令,命令,再生能源發電設備設置管理辦法,行政＞經濟部＞能源目,2026-03-11,,,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130041
命令,命令,建築整合型太陽光電發電設備示範獎勵辦法,行政＞經濟部＞能源目,2023-11-13,,,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130040
命令,命令,售電業及自用發電設備設置者繳交再生能源發展基金辦法,行政＞經濟部＞能源目,2023-11-14,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130039
命令,命令,再生能源電能費用補貼申請及審核辦法,廢止法規＞經濟部,2021-07-15,,廢,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130038
命令,命令,設置再生能源設施免請領雜項執照標準,行政＞經濟部＞能源目,2025-01-13,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130042
命令,命令,就業保險促進就業實施辦法,行政＞勞動部＞就業服務目,2025-07-17,,,79,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=N0050025
命令,命令,空難海難陸上交通事故受災地區交通搶通或公共設施重建簡化行政程序辦法,行政＞交通部＞交通通用目,2022-11-16,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0020059
命令,命令,國家安全局處務規程,總統＞國家安全會議＞組織目,2020-04-01,,,40,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0020146
命令,命令,國立中國醫藥研究所辦事細則,廢止法規＞教育部,2013-07-21,,廢,27,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0010026
命令,命令,文化業務志願服務獎勵辦法,行政＞文化部＞建設目,2024-05-13,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0170076
命令,命令,國際機場園區發展條例施行細則,行政＞交通部＞航空目,2026-08-05,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0090069
命令,命令,信用合作社對同一人或同一關係人之授信限額標準,行政＞金融監督管理委員會＞銀行目,2025-12-19,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0380219
命令,命令,消防安全設備檢修專業機構審查費及證書費收費標準,行政＞內政部＞消防目,2024-05-30,,,5,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0120045
命令,命令,各級學校全民國防教育課程內容及實施辦法,行政＞教育部＞學生事務及特殊教育目,2020-06-22,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0140016
命令,命令,國際機場園區內自由港區事業僱用原住民獎勵辦法,行政＞交通部＞航空目,2010-05-27,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0090070
命令,命令,財政部國有財產局各地區辦事處分等標準,廢止法規＞財政部,2013-01-21,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0310048
命令,命令,財政部國有財產局一等辦事處辦事細則,廢止法規＞財政部,2013-01-21,,廢,27,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0310049
命令,命令,國土測繪成果資料收費標準,行政＞內政部＞地政目,2025-07-28,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060114
命令,命令,行政院農業委員會茶業改良場組織規程,廢止法規＞農業部,2023-11-29,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0000041
命令,命令,行政院農業委員會種苗改良繁殖場組織規程,廢止法規＞農業部,2023-11-29,,廢,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0000042
命令,命令,行政院農業委員會茶業改良場辦事細則,廢止法規＞農業部,2023-11-29,,廢,18,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010031
命令,命令,行政院農業委員會種苗改良繁殖場辦事細則,廢止法規＞農業部,2023-11-29,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0010032
命令,命令,國防事業穿越私有土地之上空或地下地上權徵收補償辦法,行政＞國防部＞軍備後勤目,2010-06-11,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=F0010053
命令,命令,金融業特別準備金運用管理辦法,行政＞金融監督管理委員會＞保險目,2017-05-15,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0390086
命令,命令,能源用戶自置或委託技師或合格能源管理人員設置登記辦法,行政＞經濟部＞能源目,2024-04-03,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130043
命令,命令,技師或能源管理人員辦理能源管理業務資格認定辦法,行政＞經濟部＞能源目,2024-04-03,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0130044
命令,命令,外國之事業機關團體組織在中華民國境內從事參加展覽或臨時商務活動申請退還加值型營業稅實施辦法,行政＞財政部＞賦稅目,2018-09-21,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340126
命令,命令,海峽兩岸海運協議及空運補充協議稅收互免辦法,行政＞財政部＞賦稅目,2010-07-01,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340127
命令,命令,自由貿易港區事業僱用原住民獎勵辦法,行政＞原住民族委員會＞社會福利目,2010-07-05,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0130023
命令,命令,集中保管有價證券之提存及其償還金替代證券孳息代為受取辦法,司法＞院本部＞民事目,2019-04-19,,,10,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010047
命令,命令,創業投資事業輔導辦法,行政＞經濟部＞產業目,2023-10-30,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030090
命令,命令,各教育階段身心障礙學生與幼兒轉銜輔導及服務辦法,行政＞教育部＞學生事務及特殊教育目,2023-12-19,,,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0080074
命令,命令,工業區移交直轄市或縣市主管機關接管辦法,行政＞經濟部＞園區管理目,2010-07-19,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030091
命令,命令,公司國外投資處理辦法,行政＞經濟部＞投資目,2010-07-23,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0040052
命令,命令,旅客或隨交通工具服務之人員攜帶外幣出入國境申報登記辦法,行政＞金融監督管理委員會＞銀行目,2010-07-30,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0380220
命令,命令,促進中小企業創新增僱員工補助辦法,廢止法規＞經濟部,2018-05-24,,廢,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0140012
命令,命令,經濟部協助產業永續發展補助及輔導辦法,行政＞經濟部＞產業目,2020-09-02,,,24,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030092
命令,命令,經濟部推動產業人才能力鑑定及管理辦法,行政＞經濟部＞產業目,2018-05-23,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030093
命令,命令,經濟部鼓勵產業發展國際品牌獎勵補助及輔導辦法,行政＞經濟部＞國際貿易目,2015-03-19,,,31,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0040053
命令,命令,捐助財團法人原住民族文化事業基金會獎勵辦法,行政＞原住民族委員會＞教育文化目,2010-08-12,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0130024
命令,命令,營運總部認定辦法,行政＞經濟部＞產業目,2023-10-30,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030094
命令,命令,瀕臨絕種動植物及其產製品輸出入管理辦法,行政＞經濟部＞國際貿易目,2023-11-14,,,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0090028
命令,命令,產業園區管理機構委託經營管理辦法,行政＞經濟部＞園區管理目,2010-08-17,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030095
命令,命令,醫療法人必要財產最低標準,行政＞衛生福利部＞醫事目,2014-01-08,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020169
命令,命令,屠宰衛生檢查收費標準,行政＞農業部＞動植物防檢疫目,2022-12-30,,,8,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0130038
命令,命令,工業專用港或工業專用碼頭強制接管營運辦法,行政＞經濟部＞園區管理目,2010-09-01,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0030096
