k,v,n,g,m,e,x,c,u
法律,法律,公務員懲戒法,司法＞院本部＞行懲及智財目,2020-06-10,,,112,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030155
法律,法律,行政訴訟法施行法,司法＞院本部＞行懲及智財目,2022-06-22,,,25,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030156
法律,法律,憲法訴訟法,司法＞院本部＞釋憲目,2025-01-23,,,113,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030159
法律,法律,證人保護法,行政＞法務部＞檢察目,2018-06-13,,,23,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030161
法律,法律,監察法,監察＞院本部＞監察目,2021-01-20,,,38,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030199
法律,法律,省縣自治法,廢止法規＞內政部,1999-04-14,,廢,75,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040001
法律,法律,直轄市自治法,廢止法規＞內政部,1999-04-14,,廢,66,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040002
法律,法律,地方制度法,行政＞內政部＞民政目,2025-12-03,2026-01-01,,120,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
法律,法律,縣長任用法,廢止法規＞內政部,2002-06-05,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040010
法律,法律,縣行政人員任用條例,廢止法規＞內政部,2002-06-05,,廢,14,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040011
法律,法律,臺灣省政府功能業務與組織調整暫行條例,廢止法規＞內政部,2005-12-31,,廢,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040012
法律,法律,民法,行政＞法務部＞法律事務目,2026-08-17,9999-12-31,,1578,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000001
法律,法律,民法總則施行法,行政＞法務部＞法律事務目,2021-01-13,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000002
法律,法律,民法債編施行法,行政＞法務部＞法律事務目,2021-01-20,,,37,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000003
法律,法律,民法物權編施行法,行政＞法務部＞法律事務目,2010-02-03,,,31,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000004
法律,法律,民法親屬編施行法,行政＞法務部＞法律事務目,2021-01-13,,,24,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000005
法律,法律,民法繼承編施行法,行政＞法務部＞法律事務目,2026-08-17,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000006
法律,法律,涉外民事法律適用法,司法＞院本部＞民事目,2010-05-26,,,71,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0000007
法律,法律,民事訴訟法,司法＞院本部＞民事目,2023-11-29,,,855,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010001
法律,法律,民事訴訟法施行法,司法＞院本部＞民事目,2023-11-29,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010002
法律,法律,民事訴訟費用法,廢止法規＞院本部,2003-09-10,,廢,31,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010003
法律,法律,強制執行法,司法＞院本部＞民事目,2019-05-29,,,197,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010004
法律,法律,管收條例,司法＞院本部＞民事目,1980-07-23,,,16,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010005
法律,法律,破產法,司法＞院本部＞民事目,2018-06-13,,,174,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010006
法律,法律,破產法施行法,司法＞院本部＞民事目,2018-06-13,,,6,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010007
法律,法律,非訟事件法,司法＞院本部＞民事目,2018-06-13,,,253,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010008
法律,法律,公證法,司法＞院本部＞民事目,2019-04-03,,,162,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010010
法律,法律,提存法,司法＞院本部＞民事目,2007-12-12,,,32,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010012
法律,法律,外國法院委託事件協助法,司法＞院本部＞刑事目,1963-04-25,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010014
法律,法律,民刑事訴訟卷宗滅失案件處理法,司法＞院本部＞民事目,1973-05-02,,,19,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=B0010015
法律,法律,中華民國刑法,行政＞法務部＞檢察目,2026-07-22,,,478,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000001
法律,法律,中華民國刑法施行法,行政＞法務部＞檢察目,2026-07-22,,,27,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000002
法律,法律,妨害國幣懲治條例,行政＞中央銀行＞發行目,2011-06-29,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000003
法律,法律,妨害國家總動員懲罰暫行條例,廢止法規＞院本部,2004-01-07,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000004
法律,法律,懲治盜匪條例,廢止法規＞院本部,2002-01-30,,廢,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000005
法律,法律,懲治走私條例,行政＞法務部＞檢察目,2012-06-13,,,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000006
法律,法律,貪污治罪條例,行政＞法務部＞檢察目,2016-06-22,,,22,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000007
法律,法律,毒品危害防制條例,行政＞法務部＞檢察目,2022-05-04,,,49,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000008
法律,法律,殘害人羣治罪條例,行政＞院本部＞通用目,1953-05-22,,,7,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000009
法律,法律,懲治叛亂條例,廢止法規＞院本部,1991-05-22,,廢,13,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000010
法律,法律,戡亂時期檢肅匪諜條例,廢止法規＞院本部,1991-06-03,,廢,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000012
法律,法律,組織犯罪防制條例,行政＞法務部＞檢察目,2023-05-24,,,21,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0000013
法律,法律,刑事訴訟法,司法＞院本部＞刑事目,2026-05-13,,,753,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010001
法律,法律,刑事訴訟法施行法,司法＞院本部＞刑事目,2023-12-15,,,26,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010002
法律,法律,海上捕獲法庭審判條例,行政＞院本部＞通用目,1980-07-04,,,45,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010004
法律,法律,赦免法,行政＞院本部＞通用目,1991-09-24,,,9,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010005
法律,法律,中華民國六十年罪犯減刑條例,行政＞法務部＞檢察目,1971-09-07,,,11,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010006
法律,法律,中華民國六十四年罪犯減刑條例,行政＞法務部＞檢察目,1975-06-05,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010007
法律,法律,提審法,司法＞院本部＞刑事目,2014-01-08,,,12,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010008
法律,法律,刑事補償法,司法＞院本部＞刑事目,2023-12-15,,,43,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010009
法律,法律,少年事件處理法,司法＞院本部＞少年及家事目,2023-06-21,,,128,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010011
法律,法律,公設辯護人條例,司法＞院本部＞刑事目,2023-01-13,,,23,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010013
法律,法律,中華民國七十七年罪犯減刑條例,行政＞法務部＞檢察目,1988-04-20,,,15,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=C0010017
