y,m,n,g,k,u
19.0,2007-09-27,廢棄物輸入輸出許可申請收費標準,行政＞環境部＞資源循環目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=O0050080
19.0,2007-10-01,外國護照簽證收費標準,行政＞外交部＞領事業務目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=E0030011
18.9,2007-10-17,測繪業許可登記及地籍測量專業資格認可收費標準,行政＞內政部＞地政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0060094
18.7,2008-01-02,專利師證書收費標準,行政＞經濟部＞智慧財產權目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0070036
18.6,2008-03-07,高級中等進修學校收費標準,行政＞教育部＞終身教育目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=H0080051
18.4,2008-04-15,進口有機農產品及有機農產加工品核發有機標示同意文件審查費收費標準,行政＞農業部＞農糧目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=M0030085
18.4,2008-04-30,遊說登記及財務收支報表簿冊閱覽實施及收費辦法,行政＞內政部＞民政目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0020068
18.3,2008-06-18,申請經營石油業務規費收費標準,行政＞經濟部＞能源目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0120037
18.1,2008-08-26,營造業規費收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070170
18.0,2008-09-11,營養師執業執照費及營養諮詢機構開業執照費收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0040082
17.9,2008-11-12,游離輻射防護管制收費標準,行政＞核能安全委員會＞原子能目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=J0160023
17.8,2008-12-24,救護車及救護車營業機構設置設立許可收費標準,行政＞衛生福利部＞醫事目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=L0020146
17.7,2009-01-20,電信工程業證照費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060084
17.4,2009-04-28,第二類電信事業許可費收費標準,行政＞國家通訊傳播委員會＞收費標準目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=K0060077
17.4,2009-05-01,下水道用戶排水設備承裝技術訓練證書費收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070178
17.4,2009-05-06,在中華民國專屬經濟海域或大陸礁層建造使用改變拆除人工島嶼設施或結構許可審查收費標準,行政＞內政部＞國土管理目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=D0070179
16.9,2009-10-29,受理債權人申請查調債務人財產及所得資料收取服務費標準,行政＞財政部＞賦稅目,命令,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=G0340109
