n,a,m,t,u
政府採購法,第 102 條,2019-05-22,前項異議之處理結果不服，或機關逾收受異議之次日起十五日內不為處理者，無論該案件是否逾公告金額，得於收受異議處理結果或期限屆滿之次日起十五日內，以書面向該管採購申訴審議委員會申訴。 機關依前條通知廠商後，廠商未於規定期限內提出異議或申訴，或經提出申訴結果不予受理或審議結果指明不違反本法,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030057
中央法規標準法,第 12 條,2004-05-19,法規應規定施行日期，或授權以命令規定施行日期。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030133
中央法規標準法,第 14 條,2004-05-19,法規特定有施行日期，或以命令特定施行日期者，自該特定日起發生效力。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030133
中央法規標準法,第 22 條,2004-05-19,法律之廢止，應經立法院通過，總統公布。 命令之廢止，由原發布機關為之。 依前二項程序廢止之法規，得僅公布或發布其名稱及施行日期；並自公布或發布之日起，算至第三日起失效。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030133
中央法規標準法,第 24 條,2004-05-19,法律定有施行期限，主管機關認為需要延長者，應於期限屆滿一個月前送立法院審議。但其期限在立法院休會期內屆滿者，應於立法院休會一個月前送立法院。 命令定有施行期限，主管機關認為需要延長者，應於期限屆滿一個月前，由原發布,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030133
檔案法,第 30 條,2008-07-02,本法施行日期，由行政院定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030134
行政訴訟法,第 106 條,2022-06-22,第二項之訴訟者，應於行政處分達到或公告後二個月之不變期間內為之。 不經訴願程序即得提起第五條第一項之訴訟者，於應作為期間屆滿後，始得為之。但於期間屆滿後，已逾三年者，不得提起。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030154
行政訴訟法,第 212 條,2022-06-22,判決，於上訴期間屆滿時確定。但於上訴期間內有合法之上訴者，阻其確定。 不得上訴之判決，於宣示時確定；不宣示者，於公告主文時確定。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030154
行政訴訟法,第 237-15 條,2022-06-22,行政法院所為續予收容或延長收容之裁定，應於收容期間屆滿前當庭宣示或以正本送達受收容人。未於收容期間屆滿前為之者，續予收容或延長收容之裁定，視為撤銷。 前項正本以電子文件為之者，應以囑託收容處所長官列印裁定影本交付之,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030154
行政訴訟法,第 237-30 條,2022-06-22,於爭執之都市計畫，為防止發生重大之損害或避免急迫之危險而有必要時，得聲請管轄本案之行政法院暫時停止適用或執行，或為其他必要之處置。 前項情形，準用第二百九十五條至第二百九十七條、第二百九十八條第三項、第四項、第三百零一條及第三百零三條之規定。 行政法院裁定准許第,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030154
行政訴訟法,第 308 條,2022-06-22,本法自公布日施行。 本法修正條文施行日期，由司法院以命令定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030154
公務員懲戒法,第 12 條,2020-06-10,撤職，撤其現職，並於一定期間停止任用；其期間為一年以上、五年以下。 前項撤職人員，於停止任用期間屆滿，再任公務員者，自再任之日起，二年內不得晉敘、陞任或遷調主管職務。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030155
公務員懲戒法,第 62 條,2020-06-10,判決，於上訴期間屆滿時確定。但於上訴期間內有合法之上訴者，阻其確定。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030155
公務員懲戒法,第 96 條,2020-06-10,懲戒法庭第一審懲戒處分之判決，因上訴期間屆滿、未經合法之上訴、當事人捨棄上訴或撤回上訴而確定者，書記官應即製作判決確定證明書，於送達受懲戒人主管機關之翌日起發生懲戒處分效力。 懲戒法庭第二審懲戒處分之判決,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030155
公務員懲戒法,第 97 條,2020-06-10,受懲戒人因懲戒處分之判決而應為金錢之給付，自懲戒處分生效之日起，五年內未經行政執行機關執行者，不再執行；其於五年期間屆滿前已開始執行者，仍得繼續執行。但自五年期間屆滿之日起已逾五年尚未執行終結者，不得再執行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030155
公務員懲戒法,第 103 條,2020-06-10,本法施行日期，由司法院定之。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030155
行政訴訟法施行法,第 4 條,2022-06-22,中華民國九十九年一月十三日修正公布，九十九年五月一日施行之行政訴訟法第一百零六條第四項之應作為期間，屆滿於九十九年五月一日前之事件，其起訴期間三年之規定，自九十九年五月一日起算。 ,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030156
行政訴訟法施行法,第 25 條,2022-06-22,本法施行日期，由司法院以命令定之。 ,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030156
憲法訴訟法,第 4 條,2025-01-23,憲法法庭審理規則，由司法院定之。 前項規則，由全體大法官議決之。 大法官因任期屆滿、辭職、免職或死亡，以致人數未達中華民國憲法增修條文第五條第一項所定人數時，總統應於二個月內補足提名。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030159
憲法訴訟法,第 69 條,2025-01-23,本章案件程序之進行，不因被彈劾人卸任、立法院之解散或該屆立法委員任期屆滿而受影響。但被彈劾人於判決宣示前辭職、去職或死亡者，憲法法庭應裁定不受理。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030159
證人保護法,第 23 條,2018-06-13,本法施行日期，除中華民國九十五年五月三十日修正公布之條文，自九十五年七月一日施行，及一百零五年三月二十五日修正之條文，由行政院定之外，自公布日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030161
監察法,第 32 條,2021-01-20,本法自公布日施行。 本法第一條、第二條、第五條、第六條及第二十二條第一項，自中華民國八十二年二月一日起施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0030199
地方制度法,第 32 條,2025-12-03,查，經核定機關具明理由函告延長核定期限者，不在此限。 自治法規、委辦規則自公布或發布之日起算至第三日起發生效力。但特定有施行日期者，自該特定日起發生效力。 第一項及第二項自治法規、委辦規則，地方行政機關未依規定期限公布或發布者，該自治法規、委辦規則自期限屆滿之日起算至第三日起發生效力，並,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 33 條,2025-12-03,別當選名額一人；超過三人者，每增加三人增一人。 依第一項選出之直轄市議員、縣（市）議員、鄉（鎮、市）民代表，應於上屆任期屆滿之日宣誓就職。該宣誓就職典禮分別由行政院、內政部、縣政府召集，並由議員、代表當選人互推一人主持之。其推選會議由曾任議員、代表之資深者主持之；年資相同者，由年長者,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 34 條,2025-12-03,鎮、市）民代表會代表總額二十人以下者，不得超過十二日；二十一人以上者，不得超過十六日。 前項每年審議總預算之定期會，會期屆滿而議案尚未議畢或有其他必要時，得應直轄市長、縣（市）長、鄉（鎮、市）長之要求，或由議長、主席或議員、代表三分之一以上連署，提經大會決議延長會期。延長之會期，直轄,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
地方制度法,第 55 條,2025-12-03,副市長及職務比照簡任第十三職等之主管或首長，於市長卸任、辭職、去職或死亡時，隨同離職。 依第一項選出之市長，應於上屆任期屆滿之日宣誓就職。 中華民國一百十四年十一月二十一日修正之第一項及第二項規定，自一百十五年一月一日施行。,https://law.moj.gov.tw/LawClass/LawAll.aspx?pcode=A0040003
